pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	mixed_content	reasoning_path
25758642	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina (model not stated)	human	cross-sectional-case-control		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_25758642.md
28300642	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	biopsy	other-targeted-16S-Sanger-of-Brachyspira	not stated (Sanger-style capillary)	human	other-case-series	targeted single-taxon 16S PCR-Sanger typing on colonic biopsies; not community amplicon	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28300642.md
28940471	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	FAIL	PASS	tumor-and-adjacent-tissue	other-LC-MS/MS-methylation	none (LC-MS/MS)	human	tumour-vs-adjacent-normal	host DNA methylation biomarker via LC-MS/MS; no sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28940471.md
29517944	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	biopsy	16S	not stated	other-rhesus-macaque	intervention	nonhuman primate chronic ethanol biopsy 16S; no human component	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29517944.md
29689266	IN-SCOPE	MEDIUM	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina (Nextera/TruSeq adapters; model not stated in main text)	human	cross-sectional-case-control	discovery cohort partly reuses previously-published HK metagenomes plus 37 new controls; 3 validation cohorts	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29689266.md
30007819	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	rectal-swab	16S	not stated (V1-V2 paired-end suggests MiSeq)	human	cross-sectional-case-control	prostate cancer study on rectal swab, not stool; not CRC endpoint	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30007819.md
30292635	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mixed	16S	Illumina MiSeq	mixed-human-and-mouse	other-mouse-genotype-comparison	human sub-cohort tissue-only qPCR; only mouse fecal 16S — no human stool sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30292635.md
30710467	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	other-none	other-none	none (no sequencing)	human	other-public-opinion-survey	hypothetical WGS behavioral survey; no biology	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30710467.md
30725462	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-methods-review	MMB book chapter / methods review; no primary cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30725462.md
30776583	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor-and-adjacent-normal-tissue	16S	Illumina MiSeq	human	other-CRC-only-3-birth-cohort-strata	Chinese Famine birth-year CRC-only cohort; tumor tissue 16S; no healthy controls	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30776583.md
31059977	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	other-rat-colonic-content	16S	Illumina MiSeq	other-Sprague-Dawley-rat	intervention	rat UC intervention with Hericium polysaccharide; no human data	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31059977.md
31680787	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-narrative-review	Review: microbiome and CRC oncotherapy interaction	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31680787.md
33224717	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-narrative-review	Review: gut microbiota, dietary phytochemicals, human health	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33224717.md
33405122	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-plant-extract-and-cell-line	other-GC-MS-and-enzyme-assay	N/A	other-cell-line	other-in-vitro	Origanum/Salvia in-vitro anti-inflammatory + HCT-116/Lovo cytotoxicity; no microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33405122.md
33456404	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-narrative-review	Review: microbiome and CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33456404.md
33492618	OUT-OF-SCOPE	MEDIUM	PASS	PASS	FAIL	NOT-STATED	PASS	stool	16S	not stated	human	cross-sectional-case-control-non-CRC	small n=8 Lynch-syndrome pilot; case group has endometrial/ovarian (not CRC) cancers	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33492618.md
33581124	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy	16S	Illumina (model not stated; V4 amplicon)	human	other-intra-neoplasia-heterogeneity	436 CRC/adenoma tissue biopsies; no stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33581124.md
33771725	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	blood-culture-isolate	other-isolate-genome-WGS	Illumina HiSeq	human	other-single-isolate-case-report	single Bacteroides isolate genome from blood culture; N=1	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33771725.md
33852815	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-cost-effectiveness-analysis	Health-economics costing analysis for oncology WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33852815.md
34516694	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	rectal-swab	16S	Illumina MiSeq	human	cross-sectional-case-control-non-CRC	prostate-enlargement case/control on rectal swab, not CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34516694.md
34646786	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-corrigendum	corrigendum record for underlying paper 10.3389/fcimb.2021.599734 — evaluate that paper separately	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34646786.md
34907602	OUT-OF-SCOPE	MEDIUM	PASS	PASS	FAIL	NOT-STATED	PASS	stool	16S	not stated	mixed-human-and-mouse	other-CRC-only-perioperative-longitudinal	CRC-only PPOI vs non-PPOI cohort (no healthy controls); parallel mouse mechanism	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34907602.md
35953094	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina NovaSeq 6000	human	cross-sectional-case-control	early-onset vs late-onset CRC with matched controls, ~441 discovery + ~108 validation	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_35953094.md
36522829	PARTIAL	MEDIUM	PARTIAL	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina HiSeq 2500	human	cross-sectional-case-control	no NEW sequencing; reuses Yachida 2019 Japanese CRC metagenome cohort for mediation analysis	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_36522829.md
37175647	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	blood-germline-DNA	other-host-germline-WGS	not stated	human	cross-sectional-case-control-non-microbiome	germline CFTR variant WGS on blood; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37175647.md
37310549	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Lynch-syndrome (LS-CRC / LS-adenoma / LS-without-CRN) vs non-LS controls, N=99, V4	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37310549.md
37380012	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	FAIL	PASS	biopsy	other-isolate-typing	none (ERIC-PCR + confirmatory 16S ID)	human	cross-sectional-case-control-isolate-typing	ETBF isolate PCR typing from colorectal biopsies; not community amplicon or stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37380012.md
37490156	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	plasma	other-HPLC-ECD-metabolomics	N/A	human	cross-sectional-multi-cancer-vs-HC	plasma amino acid HPLC across 5 cancers; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37490156.md
37795928	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PARTIAL	PASS	mixed	mixed	Illumina NovaSeq 6000 (fecal + WGS); Ion Torrent (targeted panel)	human	other-case-series	single-patient fecal metagenome (NTHL1 index case); 13-patient hereditary CRC case series; no healthy controls	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37795928.md
37806638	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	FFPE-tumor-and-adjacent-normal	other-qPCR	N/A	human	other-CRC-only-prognostic-study	targeted qPCR for B. fragilis / ETBF on FFPE tumor tissue	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37806638.md
37832390	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	FAIL	PASS	plasma	other-methylation-PCR-melt-analysis	N/A	human	cross-sectional-case-control-non-microbiome	plasma cell-free DNA methylation biomarker for CRC; not microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37832390.md
37980216	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	Québec iFOBT-leftover stool cohort N=813 across healthy/blood-only/low-grade/high-grade; V4	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_37980216.md
38111159	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mouse-fecal-and-intestinal-content	16S	Illumina MiSeq	mouse-only	intervention	mouse-only pork sausage feeding trial; no human data	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_38111159.md
